,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,Address,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40544107,PONGAL INDIAN CUISINE,MANHATTAN,110,LEXINGTON AVENUE,10016,2126969458,Indian,5/16/2012,Establishment re-opened by DOHMH,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"110 LEXINGTON AVENUE, New York City, NY 10016",11,C,5/16/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41542520,NEW STAR CAFE,MANHATTAN,552,7 AVENUE,10018,2127192680,American,5/1/2014,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"552 7 AVENUE, New York City, NY 10018",12,C,5/1/2014,11/14/2014,Cycle Inspection / Reopening Inspection
41542520,NEW STAR CAFE,MANHATTAN,552,7 AVENUE,10018,2127192680,American,5/1/2014,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","552 7 AVENUE, New York City, NY 10018",12,C,5/1/2014,11/14/2014,Cycle Inspection / Reopening Inspection
50003549,EL SABROSO RESTAURANT,MANHATTAN,265,WEST   37 STREET,10018,2122841118,Spanish,12/13/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"265 WEST   37 STREET, New York City, NY 10018",12,C,12/13/2013,11/14/2014,Pre-permit (Operational) / Reopening Inspection
41143058,THE ROOSEVELT HOTEL,MANHATTAN,45,EAST   45 STREET,10017,2128856076,American,8/17/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"45 EAST   45 STREET, New York City, NY 10017",12,C,8/17/2012,11/14/2014,Cycle Inspection / Reopening Inspection
40920992,GATSBY'S,MANHATTAN,53,SPRING STREET,10012,2123344430,American,1/25/2012,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","53 SPRING STREET, New York City, NY 10012",12,C,1/25/2012,11/14/2014,Cycle Inspection / Reopening Inspection
40370436,ROSSINI'S,MANHATTAN,108,EAST   38 STREET,10016,2126830135,Italian,10/25/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","108 EAST   38 STREET, New York City, NY 10016",12,C,10/25/2013,11/14/2014,Cycle Inspection / Re-inspection
40370436,ROSSINI'S,MANHATTAN,108,EAST   38 STREET,10016,2126830135,Italian,10/25/2013,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,"108 EAST   38 STREET, New York City, NY 10016",12,C,10/25/2013,11/14/2014,Cycle Inspection / Re-inspection
40730597,STIR CAFE,MANHATTAN,32,BROADWAY,10004,2124255123,American,11/15/2012,Establishment re-opened by DOHMH,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","32 BROADWAY, New York City, NY 10004",12,C,11/15/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41509012,MAKANA,MANHATTAN,2245,1 AVENUE,10029,2129963534,Hawaiian,4/11/2014,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"2245 1 AVENUE, New York City, NY 10029",12,C,4/11/2014,11/14/2014,Cycle Inspection / Reopening Inspection
41143058,THE ROOSEVELT HOTEL,MANHATTAN,45,EAST   45 STREET,10017,2128856076,American,8/17/2012,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","45 EAST   45 STREET, New York City, NY 10017",12,C,8/17/2012,11/14/2014,Cycle Inspection / Reopening Inspection
40920992,GATSBY'S,MANHATTAN,53,SPRING STREET,10012,2123344430,American,1/25/2012,Establishment re-opened by DOHMH,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,"53 SPRING STREET, New York City, NY 10012",12,C,1/25/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41653942,SUPER DUMPLING,MANHATTAN,251,EAST 45 STREET,10017,2128089388,Chinese,7/31/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"251 EAST 45 STREET, New York City, NY 10017",12,C,7/31/2013,11/14/2014,Cycle Inspection / Reopening Inspection
41573408,LAUT,MANHATTAN,15,EAST   17 STREET,10003,2122068989,Thai,12/20/2013,Establishment re-opened by DOHMH,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,"15 EAST   17 STREET, New York City, NY 10003",12,C,12/20/2013,11/14/2014,Cycle Inspection / Reopening Inspection
40545071,CITY MARKET CAFE,MANHATTAN,178,5 AVENUE,10010,2122068922,American,11/16/2011,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"178 5 AVENUE, New York City, NY 10010",12,C,11/16/2011,11/14/2014,Cycle Inspection / Reopening Inspection
40398572,DINASTIA CHINA,MANHATTAN,145,WEST   72 STREET,10023,2123623801,Chinese,3/13/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"145 WEST   72 STREET, New York City, NY 10023",12,C,3/13/2012,11/14/2014,Cycle Inspection / Reopening Inspection
50010820,MARGOT RESTAURANT EL BASEMENT,MANHATTAN,3820,BROADWAY,10032,2127818494,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/3/2014,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","3820 BROADWAY, New York City, NY 10032",12,C,9/3/2014,11/14/2014,Pre-permit (Operational) / Reopening Inspection
41708033,JOHN'S SHANGHAI,MANHATTAN,144,WEST 46 STREET,10036,2123910888,Chinese,2/25/2013,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","144 WEST 46 STREET, New York City, NY 10036",12,C,2/25/2013,11/14/2014,Pre-permit (Operational) / Reopening Inspection
41271436,MENCHANKO-TEI 45,MANHATTAN,131,EAST 45 STREET,10017,2129866805,Japanese,7/25/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"131 EAST 45 STREET, New York City, NY 10017",13,C,7/25/2012,11/14/2014,Cycle Inspection / Reopening Inspection
40931972,88 PALACE RESTAURANT,MANHATTAN,88,EAST BROADWAY,10002,2129418886,Chinese,12/13/2012,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","88 EAST BROADWAY, New York City, NY 10002",13,C,12/13/2012,11/14/2014,Cycle Inspection / Reopening Inspection
40931972,88 PALACE RESTAURANT,MANHATTAN,88,EAST BROADWAY,10002,2129418886,Chinese,12/13/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"88 EAST BROADWAY, New York City, NY 10002",13,C,12/13/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41270541,FIORINI,MANHATTAN,20915,EAST   56 STREET,10022,2123080830,Italian,9/23/2011,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"20915 EAST   56 STREET, New York City, NY 10022",13,C,9/23/2011,11/14/2014,Cycle Inspection / Reopening Inspection
40931972,88 PALACE RESTAURANT,MANHATTAN,88,EAST BROADWAY,10002,2129418886,Chinese,12/13/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"88 EAST BROADWAY, New York City, NY 10002",13,C,12/13/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41575741,MINI THAI CAFE,MANHATTAN,105,AVENUE A,10009,2125332928,Thai,3/16/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"105 AVENUE A, New York City, NY 10009",13,C,3/16/2012,11/14/2014,Cycle Inspection / Reopening Inspection
40933887,PEEP,MANHATTAN,177,PRINCE STREET,10012,2122547337,Thai,3/29/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"177 PRINCE STREET, New York City, NY 10012",13,C,3/29/2013,11/14/2014,Cycle Inspection / Reopening Inspection
50001650,SEMBRADO,MANHATTAN,432,EAST   13 STREET,10009,2127294206,Mexican,8/15/2013,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","432 EAST   13 STREET, New York City, NY 10009",14,C,8/15/2013,11/14/2014,Pre-permit (Operational) / Re-inspection
41369316,LILI'S ASIAN CUISINE,MANHATTAN,1500,3 AVENUE,10028,2126391313,Chinese/Japanese,4/4/2014,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"1500 3 AVENUE, New York City, NY 10028",14,C,4/4/2014,11/14/2014,Cycle Inspection / Reopening Inspection
50000542,LEGEND,MANHATTAN,127,WEST 72 STREET,10023,9174414790,Chinese,3/7/2014,Establishment re-opened by DOHMH,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"127 WEST 72 STREET, New York City, NY 10023",14,C,3/7/2014,11/14/2014,Cycle Inspection / Reopening Inspection
50000542,LEGEND,MANHATTAN,127,WEST 72 STREET,10023,9174414790,Chinese,3/7/2014,Establishment re-opened by DOHMH,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","127 WEST 72 STREET, New York City, NY 10023",14,C,3/7/2014,11/14/2014,Cycle Inspection / Reopening Inspection
41369316,LILI'S ASIAN CUISINE,MANHATTAN,1500,3 AVENUE,10028,2126391313,Chinese/Japanese,4/4/2014,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","1500 3 AVENUE, New York City, NY 10028",14,C,4/4/2014,11/14/2014,Cycle Inspection / Reopening Inspection
41128262,BRUNO RAVIOLI,MANHATTAN,282284,1 AVENUE,10009,2122542156,American,6/16/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"282284 1 AVENUE, New York City, NY 10009",14,C,6/16/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41554853,LIBERTY VIEW CHINESE RESTAURANT,MANHATTAN,21,SOUTH END AVENUE,10280,2127861888,Chinese,4/4/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"21 SOUTH END AVENUE, New York City, NY 10280",15,C,4/4/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41022471,NEW VENUS RESTAURANT,MANHATTAN,252,8 AVENUE,10011,2122430980,American,1/28/2013,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","252 8 AVENUE, New York City, NY 10011",15,C,1/28/2013,11/14/2014,Cycle Inspection / Reopening Inspection
41569904,SWAGAT,MANHATTAN,411,AMSTERDAM AVENUE,10024,7187374235,Indian,3/12/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"411 AMSTERDAM AVENUE, New York City, NY 10024",15,C,3/12/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41569904,SWAGAT,MANHATTAN,411,AMSTERDAM AVENUE,10024,7187374235,Indian,3/12/2012,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","411 AMSTERDAM AVENUE, New York City, NY 10024",15,C,3/12/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41472986,FUJI JAPANESE RESTAURANT,MANHATTAN,238,WEST   56 STREET,10019,2125869888,Japanese,11/23/2012,Establishment re-opened by DOHMH,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,"238 WEST   56 STREET, New York City, NY 10019",15,C,11/23/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41298697,MARILU & DEYSI RESTAURANT,MANHATTAN,206,AUDUBON AVENUE,10033,2127956909,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/2/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"206 AUDUBON AVENUE, New York City, NY 10033",16,C,1/2/2013,11/14/2014,Cycle Inspection / Reopening Inspection
41298697,MARILU & DEYSI RESTAURANT,MANHATTAN,206,AUDUBON AVENUE,10033,2127956909,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/2/2013,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","206 AUDUBON AVENUE, New York City, NY 10033",16,C,1/2/2013,11/14/2014,Cycle Inspection / Reopening Inspection
40560896,YAKITORI TAISHO,MANHATTAN,5,ST MARKS PLACE,10003,2122285086,Japanese,4/16/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"5 ST MARKS PLACE, New York City, NY 10003",17,C,4/16/2013,11/14/2014,Cycle Inspection / Re-inspection
40560896,YAKITORI TAISHO,MANHATTAN,5,ST MARKS PLACE,10003,2122285086,Japanese,4/16/2013,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,"5 ST MARKS PLACE, New York City, NY 10003",17,C,4/16/2013,11/14/2014,Cycle Inspection / Re-inspection
40560896,YAKITORI TAISHO,MANHATTAN,5,ST MARKS PLACE,10003,2122285086,Japanese,4/16/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"5 ST MARKS PLACE, New York City, NY 10003",17,C,4/16/2013,11/14/2014,Cycle Inspection / Re-inspection
41479962,CHOCOLAT,MANHATTAN,2217,FREDERICK DOUGLASS BOULEVARD,10026,2122224545,American,11/12/2011,Establishment re-opened by DOHMH,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","2217 FREDERICK DOUGLASS BOULEVARD, New York City, NY 10026",17,C,11/12/2011,11/14/2014,Cycle Inspection / Reopening Inspection
40402205,PIADINA RESTAURANT,MANHATTAN,57,WEST 10 STREET,10011,2124608017,Italian,9/28/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"57 WEST 10 STREET, New York City, NY 10011",17,C,9/28/2011,11/14/2014,Cycle Inspection / Re-inspection
41479962,CHOCOLAT,MANHATTAN,2217,FREDERICK DOUGLASS BOULEVARD,10026,2122224545,American,11/12/2011,Establishment re-opened by DOHMH,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","2217 FREDERICK DOUGLASS BOULEVARD, New York City, NY 10026",17,C,11/12/2011,11/14/2014,Cycle Inspection / Reopening Inspection
40402205,PIADINA RESTAURANT,MANHATTAN,57,WEST 10 STREET,10011,2124608017,Italian,9/28/2011,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"57 WEST 10 STREET, New York City, NY 10011",17,C,9/28/2011,11/14/2014,Cycle Inspection / Re-inspection
